Business Unit,Level,FLSA,Tenure,Cared_About,Excited,Helpful_Info,Trust_Leadership,Morale,Attention check 1,Attention check 2,Comments
Commercial Department,Mid,Exempt,< 1 yr,1.0,2.0,3.0,1.0,3.0,4,2,
Product,Senior,Non-Exempt,1-3 yrs,2.0,2.0,5.0,1.0,3.0,4,2,I know what's happening. I don't trust that it will work out.
IT,Senior,Exempt,1-3 yrs,5.0,1.0,4.0,2.0,4.0,1,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
Commercial Department,Entry,Non-Exempt,5-10 yrs,2.0,1.0,3.0,3.0,1.0,4,2,The restructuring was handled badly. A lot of people I worked with are gone.
IT,Mid,Exempt,< 1 yr,2.0,4.0,2.0,2.0,3.0,4,2,I've been looking at other opportunities. There's no clear path here.
Product,Entry,Non-Exempt,1-3 yrs,2.0,1.0,3.0,1.0,4.0,4,2,I've been looking at other opportunities. There's no clear path here.
Sales,Mid,Exempt,1-3 yrs,3.0,3.0,3.0,2.0,3.0,4,2,Pay has not kept up. I feel replaceable.
Operations,Mid,Non-Exempt,1-3 yrs,2.0,2.0,3.0,2.0,1.0,4,2,
Product,Senior,Non-Exempt,3-5 yrs,4.0,3.0,4.0,4.0,3.0,4,1,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
Product,Senior,Exempt,10+ yrs,5.0,5.0,2.0,3.0,3.0,4,2,
Operations,Entry,Non-Exempt,< 1 yr,1.0,4.0,2.0,1.0,3.0,4,2,Leadership says one thing and does another. Communication is poor.
Product,Senior,Exempt,1-3 yrs,4.0,5.0,3.0,3.0,4.0,4,2,I appreciate the monthly town halls. My manager keeps me in the loop on things that affect our team.
Sales,Senior,Exempt,10+ yrs,2.0,3.0,4.0,3.0,4.0,4,2,I appreciate the monthly town halls. My manager keeps me in the loop on things that affect our team.
Commercial Department,Mid,Exempt,3-5 yrs,5.0,1.0,5.0,1.0,3.0,4,2,"Plenty of communication, less confidence. My team is drained."
Commercial Department,Mid,Non-Exempt,1-3 yrs,5.0,1.0,3.0,1.0,3.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
Product,Senior,Exempt,10+ yrs,4.0,4.0,4.0,4.0,4.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
IT,Entry,Non-Exempt,< 1 yr,4.0,5.0,2.0,3.0,2.0,4,2,Pay has not kept up. I feel replaceable.
Operations,Senior,Non-Exempt,3-5 yrs,5.0,1.0,4.0,2.0,4.0,4,2,I know what's happening. I don't trust that it will work out.
Commercial Department,Entry,Non-Exempt,< 1 yr,3.0,3.0,3.0,2.0,3.0,3,2,I've been looking at other opportunities. There's no clear path here.
Sales,Mid,Non-Exempt,< 1 yr,1.0,1.0,2.0,2.0,2.0,4,2,
Sales,Mid,Non-Exempt,< 1 yr,4.0,2.0,2.0,2.0,2.0,4,2,I don't know what the company's plan is. I'm not sure anyone does.
Sales,Senior,Exempt,10+ yrs,4.0,5.0,3.0,3.0,4.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Commercial Department,Entry,Exempt,10+ yrs,3.0,2.0,3.0,4.0,3.0,4,2,I don't know what the company's plan is. I'm not sure anyone does.
Commercial Department,Senior,Exempt,3-5 yrs,4.0,4.0,4.0,4.0,5.0,4,2,
Commercial Department,Mid,Exempt,5-10 yrs,1.0,5.0,1.0,5.0,1.0,4,2,
Product,Mid,Non-Exempt,< 1 yr,3.0,2.0,3.0,2.0,3.0,4,2,I've been looking at other opportunities. There's no clear path here.
Sales,Mid,Non-Exempt,< 1 yr,3.0,2.0,3.0,1.0,3.0,4,2,I don't feel valued. My manager is overloaded and I rarely get feedback.
Operations,Mid,Non-Exempt,1-3 yrs,3.0,2.0,3.0,2.0,2.0,4,2,The restructuring was handled badly. A lot of people I worked with are gone.
IT,Mid,Non-Exempt,1-3 yrs,3.0,3.0,3.0,3.0,2.0,4,2,I don't know what the company's plan is. I'm not sure anyone does.
Product,Mid,Exempt,10+ yrs,4.0,4.0,3.0,4.0,5.0,4,2,I appreciate the monthly town halls. My manager keeps me in the loop on things that affect our team.
Commercial Department,Mid,Exempt,1-3 yrs,3.0,3.0,4.0,3.0,3.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
IT,Mid,Non-Exempt,5-10 yrs,4.0,1.0,4.0,3.0,4.0,4,2,I know what's happening. I don't trust that it will work out.
Operations,Entry,Non-Exempt,10+ yrs,4.0,2.0,5.0,3.0,3.0,4,2,The weekly digest is well-written. I read it. I'm still looking.
Operations,Senior,Exempt,3-5 yrs,3.0,4.0,4.0,4.0,4.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
IT,Senior,Exempt,5-10 yrs,5.0,,,3.0,4.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Sales,Entry,Non-Exempt,1-3 yrs,2.0,3.0,4.0,1.0,2.0,4,2,Pay has not kept up. I feel replaceable.
Sales,Mid,Exempt,1-3 yrs,5.0,1.0,5.0,3.0,4.0,4,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
IT,Senior,Exempt,5-10 yrs,4.0,3.0,5.0,2.0,2.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Product,Mid,Exempt,1-3 yrs,5.0,,3.0,3.0,4.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Commercial Department,Senior,Exempt,5-10 yrs,5.0,4.0,5.0,4.0,4.0,4,2,
Sales,Entry,Non-Exempt,3-5 yrs,1.0,4.0,2.0,3.0,1.0,4,2,I don't know what the company's plan is. I'm not sure anyone does.
Sales,Mid,Exempt,< 1 yr,2.0,4.0,2.0,2.0,3.0,4,2,Leadership says one thing and does another. Communication is poor.
IT,Mid,Non-Exempt,1-3 yrs,2.0,3.0,1.0,3.0,1.0,4,2,Pay has not kept up. I feel replaceable.
Operations,Mid,Non-Exempt,1-3 yrs,4.0,1.0,2.0,2.0,4.0,4,2,I don't feel valued. My manager is overloaded and I rarely get feedback.
Commercial Department,Senior,Exempt,1-3 yrs,4.0,3.0,3.0,3.0,5.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
IT,Mid,Exempt,3-5 yrs,4.0,1.0,4.0,2.0,3.0,4,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
Commercial Department,Entry,Exempt,3-5 yrs,1.0,1.0,1.0,1.0,1.0,4,2,
Commercial Department,Mid,Exempt,5-10 yrs,4.0,1.0,4.0,1.0,3.0,4,2,The weekly digest is well-written. I read it. I'm still looking.
Commercial Department,Senior,Exempt,1-3 yrs,4.0,3.0,4.0,3.0,5.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
Product,Senior,Exempt,10+ yrs,4.0,4.0,4.0,4.0,4.0,1,2,
IT,Senior,Non-Exempt,5-10 yrs,4.0,2.0,4.0,1.0,4.0,4,2,I know what's happening. I don't trust that it will work out.
Sales,Entry,Non-Exempt,1-3 yrs,4.0,3.0,2.0,2.0,2.0,4,2,
Product,Mid,Exempt,1-3 yrs,3.0,4.0,4.0,3.0,4.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Product,Entry,Exempt,1-3 yrs,4.0,2.0,5.0,1.0,2.0,4,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
IT,Entry,Exempt,1-3 yrs,4.0,1.0,5.0,1.0,4.0,4,2,I know what's happening. I don't trust that it will work out.
Sales,Senior,Exempt,3-5 yrs,,4.0,3.0,5.0,,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Commercial Department,Mid,Exempt,5-10 yrs,4.0,1.0,4.0,2.0,3.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Operations,Entry,Non-Exempt,1-3 yrs,3.0,1.0,4.0,1.0,1.0,5,2,I don't know what the company's plan is. I'm not sure anyone does.
Operations,Senior,Exempt,10+ yrs,5.0,4.0,2.0,4.0,3.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
Commercial Department,Entry,Exempt,5-10 yrs,5.0,3.0,4.0,3.0,5.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Operations,Entry,Non-Exempt,1-3 yrs,2.0,3.0,3.0,2.0,3.0,4,2,The restructuring was handled badly. A lot of people I worked with are gone.
Operations,Senior,Non-Exempt,3-5 yrs,2.0,3.0,1.0,3.0,3.0,4,2,I've been looking at other opportunities. There's no clear path here.
IT,Mid,Exempt,5-10 yrs,4.0,1.0,4.0,1.0,4.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
IT,Mid,Non-Exempt,5-10 yrs,3.0,2.0,4.0,1.0,4.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
IT,Mid,Exempt,1-3 yrs,3.0,5.0,5.0,3.0,5.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
IT,Mid,Exempt,10+ yrs,5.0,1.0,4.0,3.0,3.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
Commercial Department,Entry,Exempt,3-5 yrs,4.0,2.0,5.0,1.0,3.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
Product,Entry,Exempt,5-10 yrs,5.0,4.0,5.0,2.0,4.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Commercial Department,Entry,Non-Exempt,3-5 yrs,4.0,3.0,4.0,2.0,4.0,4,2,
IT,Mid,Exempt,5-10 yrs,5.0,1.0,5.0,1.0,4.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
Sales,Mid,Non-Exempt,< 1 yr,4.0,1.0,5.0,1.0,3.0,5,2,I don't know what the company's plan is. I'm not sure anyone does.
IT,Mid,Exempt,< 1 yr,5.0,1.0,5.0,2.0,1.0,4,2,The weekly digest is well-written. I read it. I'm still looking.
Product,Senior,Exempt,5-10 yrs,3.0,4.0,5.0,5.0,5.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
Sales,Senior,Exempt,3-5 yrs,4.0,3.0,4.0,4.0,3.0,4,2,Benefits and flexibility are excellent. My team has good morale overall.
Commercial Department,Senior,Non-Exempt,5-10 yrs,3.0,4.0,4.0,5.0,5.0,4,2,I appreciate the monthly town halls. My manager keeps me in the loop on things that affect our team.
Product,Mid,Non-Exempt,3-5 yrs,3.0,1.0,4.0,2.0,1.0,1,2,Leadership says one thing and does another. Communication is poor.
IT,Senior,Exempt,3-5 yrs,5.0,3.0,2.0,5.0,3.0,4,2,I appreciate the monthly town halls. My manager keeps me in the loop on things that affect our team.
Operations,Mid,Non-Exempt,3-5 yrs,3.0,2.0,4.0,2.0,3.0,4,2,I know what's happening. I don't trust that it will work out.
Sales,Mid,Exempt,1-3 yrs,1.0,1.0,3.0,2.0,2.0,4,2,I don't know what the company's plan is. I'm not sure anyone does.
Operations,Entry,Non-Exempt,3-5 yrs,3.0,3.0,2.0,1.0,2.0,3,2,The restructuring was handled badly. A lot of people I worked with are gone.
Commercial Department,Mid,Non-Exempt,10+ yrs,5.0,5.0,5.0,5.0,5.0,4,2,
IT,Mid,Exempt,5-10 yrs,4.0,2.0,4.0,3.0,3.0,4,2,The weekly digest is well-written. I read it. I'm still looking.
Commercial Department,Entry,Non-Exempt,3-5 yrs,4.0,3.0,4.0,1.0,4.0,4,2,I know what's happening. I don't trust that it will work out.
Sales,Entry,Non-Exempt,3-5 yrs,2.0,2.0,3.0,3.0,3.0,4,2,The restructuring was handled badly. A lot of people I worked with are gone.
Product,Senior,Exempt,5-10 yrs,2.0,5.0,5.0,3.0,4.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Commercial Department,Mid,Exempt,10+ yrs,3.0,3.0,3.0,4.0,5.0,4,2,Benefits and flexibility are excellent. My team has good morale overall.
Product,Entry,Non-Exempt,3-5 yrs,4.0,2.0,5.0,2.0,5.0,4,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
Operations,Mid,Exempt,1-3 yrs,4.0,2.0,4.0,2.0,3.0,4,2,I know what's happening. I don't trust that it will work out.
Commercial Department,Entry,Exempt,1-3 yrs,5.0,4.0,4.0,2.0,4.0,4,2,
Commercial Department,Mid,Exempt,3-5 yrs,4.0,3.0,5.0,4.0,3.0,4,2,
Product,Mid,Exempt,5-10 yrs,3.0,5.0,3.0,3.0,4.0,4,2,Benefits and flexibility are excellent. My team has good morale overall.
Operations,Senior,Exempt,3-5 yrs,4.0,5.0,5.0,4.0,4.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Commercial Department,Mid,Non-Exempt,5-10 yrs,4.0,1.0,5.0,2.0,3.0,4,2,The weekly digest is well-written. I read it. I'm still looking.
Sales,Entry,Exempt,1-3 yrs,4.0,2.0,5.0,2.0,2.0,3,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
Operations,Entry,Non-Exempt,< 1 yr,3.0,3.0,2.0,2.0,2.0,5,2,The restructuring was handled badly. A lot of people I worked with are gone.
Sales,Entry,Non-Exempt,3-5 yrs,1.0,2.0,3.0,2.0,2.0,4,2,Leadership says one thing and does another. Communication is poor.
Commercial Department,Senior,Exempt,5-10 yrs,3.0,4.0,4.0,3.0,5.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Operations,Entry,Exempt,1-3 yrs,4.0,3.0,4.0,1.0,3.0,4,2,"Plenty of communication, less confidence. My team is drained."
Operations,Senior,Exempt,10+ yrs,5.0,4.0,5.0,4.0,5.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
IT,Mid,Non-Exempt,1-3 yrs,4.0,2.0,3.0,4.0,2.0,4,2,Pay has not kept up. I feel replaceable.
Commercial Department,Mid,Exempt,< 1 yr,4.0,4.0,4.0,4.0,4.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
IT,Mid,Exempt,5-10 yrs,4.0,3.0,4.0,2.0,2.0,4,2,
Product,Entry,Non-Exempt,5-10 yrs,5.0,4.0,3.0,4.0,5.0,4,2,I appreciate the monthly town halls. My manager keeps me in the loop on things that affect our team.
Product,Entry,Exempt,3-5 yrs,2.0,3.0,4.0,3.0,2.0,4,2,I don't feel valued. My manager is overloaded and I rarely get feedback.
Operations,Senior,Exempt,5-10 yrs,5.0,1.0,5.0,1.0,3.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
Commercial Department,Senior,Non-Exempt,3-5 yrs,4.0,3.0,5.0,1.0,3.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
IT,Senior,Exempt,5-10 yrs,3.0,4.0,4.0,5.0,4.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Product,Mid,Exempt,10+ yrs,1.0,5.0,1.0,5.0,1.0,4,3,
Sales,Mid,Non-Exempt,< 1 yr,2.0,4.0,2.0,3.0,4.0,4,2,
Commercial Department,Senior,Exempt,3-5 yrs,5.0,3.0,5.0,2.0,2.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
Product,Mid,Exempt,1-3 yrs,3.0,2.0,5.0,1.0,4.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
IT,Mid,Exempt,5-10 yrs,4.0,4.0,3.0,5.0,3.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Sales,Entry,Exempt,1-3 yrs,2.0,3.0,2.0,2.0,2.0,4,2,I don't know what the company's plan is. I'm not sure anyone does.
Product,Mid,Non-Exempt,3-5 yrs,5.0,3.0,5.0,2.0,4.0,4,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
Commercial Department,Mid,Non-Exempt,1-3 yrs,5.0,2.0,4.0,2.0,4.0,4,2,
Sales,Senior,Exempt,< 1 yr,4.0,2.0,3.0,3.0,3.0,4,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
IT,Senior,Exempt,5-10 yrs,5.0,2.0,5.0,2.0,3.0,4,2,I know what's happening. I don't trust that it will work out.
IT,Senior,Exempt,5-10 yrs,4.0,1.0,5.0,1.0,2.0,4,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
Product,Entry,Non-Exempt,5-10 yrs,4.0,5.0,5.0,5.0,3.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Sales,Entry,Non-Exempt,1-3 yrs,3.0,2.0,1.0,1.0,3.0,3,2,Pay has not kept up. I feel replaceable.
Operations,Entry,Exempt,5-10 yrs,4.0,2.0,3.0,1.0,2.0,4,2,Leadership says one thing and does another. Communication is poor.
IT,Senior,Non-Exempt,5-10 yrs,5.0,2.0,4.0,2.0,3.0,4,2,I know what's happening. I don't trust that it will work out.
Commercial Department,Mid,Exempt,3-5 yrs,3.0,4.0,3.0,4.0,3.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Commercial Department,Entry,Exempt,1-3 yrs,3.0,2.0,5.0,1.0,3.0,4,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
IT,Senior,Exempt,1-3 yrs,5.0,5.0,4.0,5.0,5.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
Commercial Department,Entry,Exempt,1-3 yrs,5.0,3.0,5.0,4.0,5.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
IT,Mid,Non-Exempt,1-3 yrs,5.0,1.0,5.0,2.0,2.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
IT,Senior,Exempt,10+ yrs,3.0,3.0,4.0,5.0,5.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
IT,Entry,Exempt,5-10 yrs,4.0,4.0,3.0,4.0,4.0,4,2,I appreciate the monthly town halls. My manager keeps me in the loop on things that affect our team.
Operations,Entry,Non-Exempt,< 1 yr,1.0,4.0,2.0,2.0,2.0,4,2,I don't know what the company's plan is. I'm not sure anyone does.
Sales,Entry,Non-Exempt,< 1 yr,1.0,2.0,3.0,2.0,2.0,4,2,I've been looking at other opportunities. There's no clear path here.
Product,Senior,Exempt,3-5 yrs,4.0,5.0,4.0,5.0,5.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Operations,Entry,Non-Exempt,3-5 yrs,2.0,3.0,3.0,1.0,3.0,4,2,I've been looking at other opportunities. There's no clear path here.
Commercial Department,Senior,Exempt,10+ yrs,4.0,5.0,4.0,4.0,3.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Operations,Senior,Exempt,1-3 yrs,5.0,1.0,4.0,2.0,3.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Commercial Department,Senior,Exempt,3-5 yrs,5.0,3.0,5.0,5.0,4.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Commercial Department,Senior,Exempt,5-10 yrs,3.0,2.0,4.0,1.0,3.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Product,Mid,Exempt,5-10 yrs,5.0,2.0,4.0,2.0,3.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Operations,Mid,Non-Exempt,10+ yrs,2.0,3.0,2.0,2.0,1.0,4,2,Pay has not kept up. I feel replaceable.
Operations,Entry,Non-Exempt,< 1 yr,3.0,3.0,2.0,3.0,1.0,2,2,The restructuring was handled badly. A lot of people I worked with are gone.
Commercial Department,Mid,Exempt,10+ yrs,5.0,1.0,4.0,2.0,3.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
Commercial Department,Senior,Exempt,5-10 yrs,3.0,5.0,4.0,5.0,3.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
Sales,Mid,Non-Exempt,1-3 yrs,4.0,1.0,5.0,2.0,3.0,4,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
Commercial Department,Senior,Non-Exempt,5-10 yrs,5.0,5.0,3.0,3.0,4.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
Sales,Entry,Non-Exempt,< 1 yr,3.0,3.0,1.0,2.0,1.0,4,2,Leadership says one thing and does another. Communication is poor.
Product,Mid,Exempt,< 1 yr,5.0,2.0,4.0,2.0,3.0,4,2,The weekly digest is well-written. I read it. I'm still looking.
Operations,Entry,Exempt,3-5 yrs,4.0,3.0,4.0,2.0,4.0,4,3,I know what's happening. I don't trust that it will work out.
Product,Mid,Exempt,5-10 yrs,4.0,2.0,5.0,3.0,4.0,4,2,I know what's happening. I don't trust that it will work out.
Commercial Department,Senior,Non-Exempt,1-3 yrs,3.0,4.0,2.0,2.0,2.0,4,2,The restructuring was handled badly. A lot of people I worked with are gone.
Product,Senior,Exempt,3-5 yrs,3.0,4.0,5.0,4.0,5.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Commercial Department,Mid,Exempt,5-10 yrs,4.0,3.0,5.0,3.0,3.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Product,Entry,Exempt,5-10 yrs,4.0,4.0,5.0,5.0,4.0,4,2,Benefits and flexibility are excellent. My team has good morale overall.
Commercial Department,Entry,Non-Exempt,3-5 yrs,1.0,5.0,1.0,5.0,1.0,4,1,
IT,Senior,Exempt,10+ yrs,4.0,4.0,2.0,4.0,4.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
Operations,Entry,Exempt,3-5 yrs,3.0,3.0,2.0,2.0,2.0,4,2,I don't feel valued. My manager is overloaded and I rarely get feedback.
Commercial Department,Entry,Exempt,10+ yrs,4.0,4.0,5.0,4.0,4.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Operations,Mid,Non-Exempt,< 1 yr,3.0,2.0,5.0,1.0,3.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
IT,Mid,Exempt,3-5 yrs,5.0,2.0,4.0,3.0,3.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
IT,Senior,Non-Exempt,3-5 yrs,4.0,1.0,4.0,1.0,3.0,4,2,"Plenty of communication, less confidence. My team is drained."
IT,Mid,Exempt,3-5 yrs,4.0,5.0,5.0,3.0,5.0,4,2,I appreciate the monthly town halls. My manager keeps me in the loop on things that affect our team.
IT,Senior,Exempt,5-10 yrs,4.0,2.0,5.0,2.0,2.0,4,2,The weekly digest is well-written. I read it. I'm still looking.
Commercial Department,Mid,Exempt,5-10 yrs,4.0,1.0,3.0,1.0,3.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
Commercial Department,Mid,Exempt,5-10 yrs,5.0,1.0,4.0,2.0,3.0,4,2,"Plenty of communication, less confidence. My team is drained."
Commercial Department,Mid,Exempt,10+ yrs,4.0,3.0,3.0,2.0,3.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Product,Mid,Exempt,3-5 yrs,4.0,3.0,5.0,2.0,3.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
Sales,Entry,Non-Exempt,< 1 yr,4.0,2.0,2.0,3.0,1.0,4,2,The restructuring was handled badly. A lot of people I worked with are gone.
Product,Entry,Non-Exempt,3-5 yrs,5.0,5.0,5.0,4.0,4.0,4,2,
Product,Senior,Exempt,10+ yrs,3.0,5.0,5.0,3.0,3.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
Commercial Department,Senior,Non-Exempt,5-10 yrs,4.0,1.0,4.0,1.0,4.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Sales,Entry,Non-Exempt,< 1 yr,3.0,1.0,4.0,1.0,3.0,4,2,Pay has not kept up. I feel replaceable.
IT,Entry,Exempt,5-10 yrs,4.0,1.0,5.0,2.0,3.0,4,2,
Sales,Entry,Exempt,5-10 yrs,3.0,3.0,4.0,5.0,4.0,4,2,I appreciate the monthly town halls. My manager keeps me in the loop on things that affect our team.
Commercial Department,Entry,Non-Exempt,10+ yrs,5.0,1.0,4.0,1.0,4.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Commercial Department,Senior,Exempt,< 1 yr,4.0,4.0,4.0,5.0,4.0,4,2,
IT,Mid,Exempt,< 1 yr,2.0,1.0,2.0,2.0,3.0,4,2,I've been looking at other opportunities. There's no clear path here.
IT,Mid,Exempt,5-10 yrs,4.0,1.0,4.0,1.0,4.0,4,2,I know what's happening. I don't trust that it will work out.
Product,Entry,Non-Exempt,3-5 yrs,4.0,3.0,3.0,1.0,3.0,4,2,I don't feel valued. My manager is overloaded and I rarely get feedback.
IT,Mid,Exempt,10+ yrs,5.0,2.0,5.0,2.0,4.0,4,2,The weekly digest is well-written. I read it. I'm still looking.
Product,Mid,Non-Exempt,3-5 yrs,2.0,2.0,2.0,2.0,3.0,4,2,I don't feel valued. My manager is overloaded and I rarely get feedback.
IT,Entry,Exempt,3-5 yrs,4.0,1.0,4.0,1.0,4.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
IT,Senior,Exempt,3-5 yrs,4.0,3.0,4.0,1.0,3.0,4,1,I know what's happening. I don't trust that it will work out.
IT,Mid,Non-Exempt,3-5 yrs,4.0,2.0,4.0,1.0,4.0,4,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
Product,Senior,Exempt,< 1 yr,4.0,4.0,4.0,4.0,4.0,3,2,
Product,Entry,Non-Exempt,3-5 yrs,3.0,5.0,3.0,2.0,2.0,4,2,Leadership says one thing and does another. Communication is poor.
Operations,Mid,Non-Exempt,< 1 yr,3.0,3.0,3.0,3.0,3.0,3,2,
Commercial Department,Mid,Non-Exempt,< 1 yr,4.0,2.0,2.0,2.0,2.0,4,2,I don't know what the company's plan is. I'm not sure anyone does.
Commercial Department,Mid,Exempt,5-10 yrs,5.0,3.0,3.0,4.0,5.0,4,2,
IT,Mid,Non-Exempt,5-10 yrs,4.0,3.0,4.0,2.0,3.0,4,2,The restructuring was handled badly. A lot of people I worked with are gone.
Product,Mid,Exempt,5-10 yrs,4.0,5.0,2.0,5.0,5.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Commercial Department,Senior,Non-Exempt,10+ yrs,2.0,4.0,5.0,4.0,4.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Product,Mid,Non-Exempt,< 1 yr,2.0,2.0,4.0,3.0,1.0,4,2,
Product,Senior,Exempt,5-10 yrs,4.0,3.0,3.0,4.0,5.0,4,2,Benefits and flexibility are excellent. My team has good morale overall.
IT,Mid,Exempt,3-5 yrs,3.0,1.0,5.0,2.0,2.0,4,2,I know what's happening. I don't trust that it will work out.
Commercial Department,Entry,Non-Exempt,5-10 yrs,2.0,2.0,3.0,3.0,3.0,4,2,I don't feel valued. My manager is overloaded and I rarely get feedback.
IT,Entry,Non-Exempt,1-3 yrs,1.0,2.0,3.0,2.0,1.0,4,2,I don't know what the company's plan is. I'm not sure anyone does.
IT,Mid,Non-Exempt,3-5 yrs,4.0,2.0,4.0,3.0,3.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Operations,Senior,Exempt,5-10 yrs,4.0,4.0,4.0,2.0,1.0,4,2,I appreciate the monthly town halls. My manager keeps me in the loop on things that affect our team.
Product,Mid,Non-Exempt,3-5 yrs,4.0,5.0,3.0,5.0,4.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Sales,Entry,Non-Exempt,3-5 yrs,2.0,3.0,2.0,1.0,3.0,4,2,I don't feel valued. My manager is overloaded and I rarely get feedback.
Sales,Mid,Exempt,3-5 yrs,4.0,2.0,4.0,1.0,4.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
